method,rmse,top1_regret,top1_hit_rate,seed,coverage,mean_support
base,0.11028103123011809,0.01973392814397812,0.5,20260902,1.0,0.0
fixed_level_1,0.11025795243492519,0.018759027123451233,0.5046728971962616,20260902,1.0,198.7570093457944
fixed_level_2,0.11012664789914729,0.01879790611565113,0.5046728971962616,20260902,1.0,181.94392523364485
fixed_level_3,0.11007816626990997,0.018132122233510017,0.5285714285714286,20260902,0.9813084112149533,104.65238095238095
fixed_level_4,0.10838074817599645,0.018600450828671455,0.5185185185185185,20260902,0.883177570093458,29.243386243386244
operational_theorem_frontier,0.11028103123011809,0.01973392814397812,0.5,20260902,1.0,0.0
operational_mean_frontier,0.10956389740052987,0.018110034987330437,0.5093457943925234,20260902,1.0,47.89719626168224
old_score_proxy,0.11020576551450678,0.019098883494734764,0.514018691588785,20260902,1.0,135.9392523364486
base,0.11211381042923022,0.019455406814813614,0.49065420560747663,20260903,1.0,0.0
fixed_level_1,0.11221863781522665,0.01962423324584961,0.48598130841121495,20260903,1.0,196.1214953271028
fixed_level_2,0.11212337986785632,0.019323373213410378,0.4953271028037383,20260903,1.0,181.3644859813084
fixed_level_3,0.1128535361392853,0.019293835386633873,0.49528301886792453,20260903,0.9906542056074766,102.74056603773585
fixed_level_4,0.11378049300468131,0.01708984561264515,0.531578947368421,20260903,0.8878504672897196,31.068421052631578
operational_theorem_frontier,0.11211381042923022,0.019455406814813614,0.49065420560747663,20260903,1.0,0.0
operational_mean_frontier,0.11235025056613113,0.019343512132763863,0.49065420560747663,20260903,1.0,52.504672897196265
old_score_proxy,0.11216909063764803,0.018877234309911728,0.5,20260903,1.0,129.0981308411215
base,0.10272733421093712,0.01885497011244297,0.45794392523364486,20260904,1.0,0.0
fixed_level_1,0.10286279553454306,0.017931608483195305,0.48598130841121495,20260904,1.0,187.9392523364486
fixed_level_2,0.10267077595560932,0.0178080964833498,0.48598130841121495,20260904,1.0,170.9018691588785
fixed_level_3,0.1019497765838777,0.017354361712932587,0.4976303317535545,20260904,0.985981308411215,95.13744075829383
fixed_level_4,0.10152896718959212,0.01653960905969143,0.4918918918918919,20260904,0.8644859813084113,28.237837837837837
operational_theorem_frontier,0.10272733421093712,0.01885497011244297,0.45794392523364486,20260904,1.0,0.0
operational_mean_frontier,0.10193151761872157,0.018835613504052162,0.4672897196261682,20260904,1.0,63.61682242990654
old_score_proxy,0.10254878747245529,0.01885843090713024,0.4719626168224299,20260904,1.0,93.51401869158879
base,0.11593910635706141,0.021430695429444313,0.4719626168224299,20260905,1.0,0.0
fixed_level_1,0.116103465740858,0.020676827058196068,0.48598130841121495,20260905,1.0,192.51401869158877
fixed_level_2,0.11580755111691993,0.020775081589818,0.48130841121495327,20260905,1.0,175.0981308411215
fixed_level_3,0.116673868295452,0.022007852792739868,0.48095238095238096,20260905,0.9813084112149533,97.35238095238095
fixed_level_4,0.1148791589398552,0.022246038541197777,0.45549738219895286,20260905,0.8925233644859814,29.408376963350786
operational_theorem_frontier,0.11595768412950445,0.021430695429444313,0.4719626168224299,20260905,1.0,0.004672897196261682
operational_mean_frontier,0.11648975009259233,0.021234877407550812,0.4719626168224299,20260905,1.0,62.294392523364486
old_score_proxy,0.11630587072866175,0.021022498607635498,0.4766355140186916,20260905,1.0,125.28504672897196
base,0.10700015188551634,0.020613286644220352,0.48130841121495327,20260906,1.0,0.0
fixed_level_1,0.10686995422955738,0.020522229373455048,0.4766355140186916,20260906,1.0,196.79906542056074
fixed_level_2,0.10695453645266176,0.020522229373455048,0.4766355140186916,20260906,1.0,183.41121495327104
fixed_level_3,0.10795788939836001,0.018577106297016144,0.49523809523809526,20260906,0.9813084112149533,106.21904761904761
fixed_level_4,0.10655680663396372,0.019185572862625122,0.5,20260906,0.9158878504672897,27.96938775510204
operational_theorem_frontier,0.10700015188551634,0.020613286644220352,0.48130841121495327,20260906,1.0,0.0
operational_mean_frontier,0.10613364958787518,0.01911724917590618,0.48598130841121495,20260906,1.0,68.15420560747664
old_score_proxy,0.10654763932963271,0.02033158764243126,0.48130841121495327,20260906,1.0,159.7710280373832
base,0.10759538893634855,0.019890474155545235,0.5,20260907,1.0,0.0
fixed_level_1,0.1076902111509608,0.020614098757505417,0.48598130841121495,20260907,1.0,192.02803738317758
fixed_level_2,0.10775036060690844,0.020336471498012543,0.48598130841121495,20260907,1.0,171.98130841121494
fixed_level_3,0.10631454250909883,0.020687216892838478,0.49523809523809526,20260907,0.9813084112149533,104.19047619047619
