method,rmse,top1_regret,top1_hit_rate,coverage,mean_support,mean_level
base_ridge,0.10832813005267959,0.019000420346856117,0.49469964664310956,,,
fixed_level_1_base_fallback,0.1080099493265152,0.018933482468128204,0.5017667844522968,1.0,261.0247349823322,
fixed_level_2_base_fallback,0.10801070928573608,0.01876426674425602,0.5017667844522968,1.0,235.61484098939928,
fixed_level_3_base_fallback,0.1083686426281929,0.019695034250617027,0.4876325088339223,0.9858657243816255,129.31182795698925,
fixed_level_4_base_fallback,0.10877902060747147,0.019381582736968994,0.4876325088339223,0.8939929328621908,37.85375494071146,
adaptive_theorem_rule,0.10800831764936447,0.018933482468128204,0.5017667844522968,1.0,258.35335689045934,1.226148409893993
