method,rmse,top1_regret,top1_hit_rate
static_base,0.12630722911415956,0.03987504541873932,0.3474178403755869
static_plus_svd,0.08536231942534188,0.03284407779574394,0.4131455399061033
static_svd_plus_history_rates,0.08376744936692943,0.03460952267050743,0.38497652582159625
embedding_shared_knn,0.08653208524564836,0.03674755617976189,0.36619718309859156
embedding_program_specific_knn,0.08367598996090746,0.037534356117248535,0.37089201877934275
propensity_full_shared_knn,0.08501317082114022,0.03547577187418938,0.38967136150234744
propensity_full_fixed_chebyshev_k50,0.08500498889819254,0.03560247644782066,0.39436619718309857
propensity_leave_one_program_out_knn,0.085406345535482,0.03520863503217697,0.38028169014084506
