seed,method,rmse,top1_regret,top1_hit_rate,ndcg,pairwise_log_loss
20260902,base_propensity,0.08851778353587084,0.04210713878273964,0.3568075117370892,0.9746770415804952,0.6373847908199133
20260902,tuned_decision_neighborhood,0.08851329805543637,0.041400838643312454,0.36619718309859156,0.9752079634098644,0.6373789194589133
20260902,fixed_decision_neighborhood,0.08851764422352106,0.042275846004486084,0.3568075117370892,0.9746646604361966,0.6373843206599128
20260903,base_propensity,0.0847589031160009,0.03859418258070946,0.38028169014084506,0.9752399260260188,0.6368796056744259
20260903,tuned_decision_neighborhood,0.0847614551476846,0.039168886840343475,0.36619718309859156,0.9749966233516401,0.6368818179185066
20260903,fixed_decision_neighborhood,0.08476092471593208,0.038958821445703506,0.38028169014084506,0.9751773978316888,0.6368807025522638
20260904,base_propensity,0.08294682672491274,0.03723228722810745,0.40375586854460094,0.9757938378432814,0.6368415343115629
20260904,tuned_decision_neighborhood,0.08294050838562642,0.037793442606925964,0.38028169014084506,0.9758752662761447,0.6368361149408985
20260904,fixed_decision_neighborhood,0.08293209045576853,0.03612431138753891,0.40375586854460094,0.975986736923884,0.6368293923314573
20260905,base_propensity,0.0909068022884611,0.038342010229825974,0.3755868544600939,0.9759029309209376,0.6380849457948498
20260905,tuned_decision_neighborhood,0.09091172957688275,0.03572811931371689,0.40375586854460094,0.9764235669264756,0.6380875111662198
20260905,fixed_decision_neighborhood,0.09089593595262876,0.03683941066265106,0.39436619718309857,0.9762731987268534,0.6380745230203362
20260906,base_propensity,0.08907358116232976,0.04298761487007141,0.3051643192488263,0.9745335002900356,0.639031724482168
20260906,tuned_decision_neighborhood,0.08903608821485398,0.03779792785644531,0.3427230046948357,0.975871172225693,0.6389898457664459
20260906,fixed_decision_neighborhood,0.08906580944703542,0.041172560304403305,0.30985915492957744,0.9749565286040518,0.6390243635745858
20260907,base_propensity,0.08277020434300984,0.03908354043960571,0.36619718309859156,0.9768081167895185,0.6370497029964697
20260907,tuned_decision_neighborhood,0.08273321307199231,0.03670453652739525,0.36619718309859156,0.9772712350498041,0.6370166881530189
20260907,fixed_decision_neighborhood,0.08277266200399998,0.039505988359451294,0.37089201877934275,0.9767705979334744,0.6370516542532155
20260908,base_propensity,0.08179391471562278,0.03126305714249611,0.431924882629108,0.977661566948585,0.6361216999290364
20260908,tuned_decision_neighborhood,0.08181838618719649,0.03158855065703392,0.41784037558685444,0.9774813656556254,0.6361318652324641
20260908,fixed_decision_neighborhood,0.0817923575385598,0.031291138380765915,0.431924882629108,0.9777051249740668,0.6361202879107417
20260909,base_propensity,0.0915155416346378,0.04009076952934265,0.36619718309859156,0.975121706347664,0.637939224120787
20260909,tuned_decision_neighborhood,0.09151272892089972,0.04150506108999252,0.3145539906103286,0.9748061619988533,0.6379380890954177
20260909,fixed_decision_neighborhood,0.09151131449027827,0.04012307524681091,0.3615023474178404,0.9751428872338777,0.6379350207594564
20260910,base_propensity,0.08120852593395994,0.03919349983334541,0.38967136150234744,0.9758032451693226,0.636943318307937
20260910,tuned_decision_neighborhood,0.08122378451913835,0.0387212336063385,0.36619718309859156,0.9759916759202862,0.636945561032264
20260910,fixed_decision_neighborhood,0.08121224246048123,0.0396445095539093,0.38028169014084506,0.9756686238450697,0.6369458968596194
20260911,base_propensity,0.08960393020671024,0.03836265951395035,0.3286384976525822,0.9751825594866044,0.6379753668091295
20260911,tuned_decision_neighborhood,0.08964115103917858,0.0380406528711319,0.3427230046948357,0.9758529887956362,0.6379799176835858
20260911,fixed_decision_neighborhood,0.08960052365708825,0.03775845095515251,0.3380281690140845,0.9753395392267433,0.6379705476846245
