method,rmse,top1_regret,top1_hit_rate,ndcg,pairwise_log_loss
base_propensity,0.08384964916631021,0.03611929714679718,0.39295774647887327,0.9767163733245987,0.6373070872319259
fixed_propensity_peer_mean,0.08349843229969975,0.03693141341209412,0.38826291079812203,0.9768127882545279,0.63729672559212
base_pairwise_ranker,,0.037396210804581644,0.3657276995305164,0.9775149732703283,0.2072424129210788
restricted_base_pairwise_ranker,,0.036871399357914926,0.3830985915492958,0.9769687233132345,0.5461811958493666
propensity_neighborhood_ranker,,0.037756933644413945,0.35821596244131454,0.977526788237318,0.2037154301453513
embedding_neighborhood_ranker,,0.037303308770060536,0.3830985915492958,0.9768474274804196,0.21189674149643523
neighborhood_pairwise_ranker,,0.037857710942626,0.37183098591549296,0.9765979010291084,0.21227474356605974
restricted_neighborhood_ranker,,0.037746164947748184,0.384037558685446,0.9767026522844574,0.5342217134397126
