method,rmse,top1_regret,top1_hit_rate,coverage,mean_support,mean_level
base_ridge,0.10906889120858969,0.019778426736593246,0.49469964664310956,,,
fixed_level_1_base_fallback,0.10836414247751236,0.018801603466272354,0.4911660777385159,1.0,265.65017667844523,
fixed_level_2_base_fallback,0.10856346786022186,0.019010040909051895,0.4840989399293286,1.0,238.7173144876325,
fixed_level_3_base_fallback,0.11037459224462509,0.020115455612540245,0.4664310954063604,0.9752650176678446,128.06884057971016,
fixed_level_4_base_fallback,0.11683642864227295,0.020710881799459457,0.46996466431095407,0.8975265017667845,37.70472440944882,
adaptive_theorem_rule,0.10810285806655884,0.018801603466272354,0.4911660777385159,1.0,250.23321554770317,1.558303886925795
