method,rmse,top1_regret,top1_hit_rate
static_base,0.13194525254732342,0.04032304137945175,0.352112676056338
static_plus_svd,0.08656681581757115,0.03745599836111069,0.36619718309859156
static_svd_plus_history_rates,0.08622708246955818,0.04048291966319084,0.352112676056338
embedding_shared_knn,0.08631715792960418,0.03715290501713753,0.36619718309859156
embedding_program_specific_knn,0.08622486160104886,0.03812537342309952,0.37089201877934275
propensity_full_shared_knn,0.08679584208513763,0.035904355347156525,0.38497652582159625
propensity_full_fixed_chebyshev_k50,0.08628150403644139,0.03647032752633095,0.38497652582159625
propensity_leave_one_program_out_knn,0.08667254898282523,0.040389031171798706,0.3474178403755869
