method,rmse,top1_regret,top1_hit_rate,coverage,mean_support,mean_level
base_ridge,0.10348478227742745,0.019549420103430748,0.48056537102473496,,,
fixed_level_1_base_fallback,0.10369530320167542,0.0182939562946558,0.49823321554770317,1.0,282.0,
fixed_level_2_base_fallback,0.10353356599807739,0.01844863034784794,0.5017667844522968,0.9929328621908127,163.37366548042704,
fixed_level_3_base_fallback,0.10337870568037033,0.018697764724493027,0.49469964664310956,0.9787985865724381,140.86281588447653,
fixed_level_4_base_fallback,0.10363391041755676,0.01908249966800213,0.48056537102473496,0.8904593639575972,38.00396825396825,
adaptive_theorem_rule,0.10365107655525208,0.0182939562946558,0.49823321554770317,1.0,259.58657243816253,1.2826855123674912
