method,rmse,top1_regret,top1_hit_rate
static_base,0.13237299929758753,0.04635264724493027,0.30985915492957744
static_plus_svd,0.08667755858794582,0.039333295077085495,0.3615023474178404
static_svd_plus_history_rates,0.08687183796313958,0.039893053472042084,0.3568075117370892
embedding_shared_knn,0.08599393417910046,0.039048511534929276,0.38497652582159625
embedding_program_specific_knn,0.08548802022975023,0.04098881408572197,0.3286384976525822
propensity_full_shared_knn,0.08652568184469772,0.03952327370643616,0.41784037558685444
propensity_full_fixed_chebyshev_k50,0.0862364278900551,0.04031055420637131,0.38497652582159625
propensity_leave_one_program_out_knn,0.08657570024425955,0.04060325399041176,0.3615023474178404
