method,rmse,top1_regret,top1_hit_rate,coverage,mean_support,mean_level
base_ridge,0.1070174156444692,0.018778832629323006,0.4911660777385159,,,
fixed_level_1_base_fallback,0.10740036517381668,0.017756879329681396,0.5123674911660777,1.0,262.6042402826855,
fixed_level_2_base_fallback,0.10734103620052338,0.017756879329681396,0.5123674911660777,1.0,244.79505300353358,
fixed_level_3_base_fallback,0.10815005004405975,0.017790943384170532,0.4911660777385159,0.9752650176678446,135.8913043478261,
fixed_level_4_base_fallback,0.11062183231115341,0.01924663409590721,0.4664310954063604,0.9045936395759717,37.41015625,
adaptive_theorem_rule,0.10735160857439041,0.017756879329681396,0.5123674911660777,1.0,251.0565371024735,1.4134275618374559
