method,rmse,top1_regret,top1_hit_rate,coverage,mean_support,mean_level
base_ridge,0.10225425138288717,0.011501834727823734,0.6289752650176679,,,
fixed_level_1_base_fallback,0.1023964062333107,0.011579164303839207,0.6219081272084805,1.0,265.65017667844523,
fixed_level_2_base_fallback,0.10233264416456223,0.011343125253915787,0.6254416961130742,1.0,238.7173144876325,
fixed_level_3_base_fallback,0.10153442621231079,0.011501386761665344,0.6219081272084805,0.9752650176678446,128.06884057971016,
fixed_level_4_base_fallback,0.10192537307739258,0.011530236341059208,0.6254416961130742,0.8975265017667845,37.70472440944882,
adaptive_theorem_rule,0.10241608321666718,0.011635350994765759,0.6183745583038869,1.0,241.23674911660777,1.4911660777385158
