method,rmse,top1_regret,top1_hit_rate,ndcg,pairwise_log_loss
preliminary_base,0.08384964916631021,0.03611929714679718,0.39295774647887327,0.9767163733245987,0.6373070872319259
stacked_base_preprocessor,0.08393228553796792,0.036351976171135905,0.39061032863849765,0.9765253665042474,0.6373086886337196
propensity_neighborhood_preprocessor,0.08394903798052303,0.03646456226706505,0.3924882629107981,0.9764759879305857,0.637345387391619
embedding_neighborhood_preprocessor,0.08387797804791161,0.03588079139590263,0.3967136150234742,0.9766638597960595,0.6373455342567358
combined_neighborhood_preprocessor,0.08382720594130007,0.03633266054093838,0.39342723004694835,0.9765912742396008,0.637379713462025
