method,rmse,top1_regret,top1_hit_rate,seed,coverage,mean_support
operational_theorem_frontier,0.10700015188551634,0.020613286644220352,0.48130841121495327,20260906,1.0,0.0
operational_mean_frontier,0.10636537498277146,0.01989452913403511,0.4719626168224299,20260906,1.0,58.481308411214954
old_score_proxy,0.10687727109997215,0.019727524369955063,0.48130841121495327,20260906,1.0,132.0981308411215
base,0.10759538893634855,0.019890474155545235,0.5,20260907,1.0,0.0
fixed_level_1,0.10752864986917017,0.02030862309038639,0.49065420560747663,20260907,1.0,187.45794392523365
fixed_level_2,0.10784399877313529,0.020108642056584358,0.48598130841121495,20260907,1.0,159.47663551401868
fixed_level_3,0.10651156395929792,0.021332938224077225,0.4807692307692308,20260907,0.9719626168224299,73.10576923076923
fixed_level_4,0.1000700977381677,0.0207637008279562,0.5089820359281437,20260907,0.780373831775701,14.173652694610778
operational_theorem_frontier,0.1075830706197747,0.019890474155545235,0.5,20260907,1.0,0.004672897196261682
operational_mean_frontier,0.10677876081791814,0.02077001892030239,0.48598130841121495,20260907,1.0,56.504672897196265
old_score_proxy,0.1075988478082799,0.020281948149204254,0.48598130841121495,20260907,1.0,109.60747663551402
base,0.10738784182424022,0.018652265891432762,0.5794392523364486,20260908,1.0,0.0
fixed_level_1,0.10781571206050952,0.018808932974934578,0.5747663551401869,20260908,1.0,190.0607476635514
fixed_level_2,0.10848981180442768,0.01732143573462963,0.5981308411214953,20260908,1.0,158.0981308411215
fixed_level_3,0.10655730416503362,0.01701415330171585,0.6153846153846154,20260908,0.9719626168224299,73.02884615384616
fixed_level_4,0.10952380176200163,0.015732133761048317,0.6094674556213018,20260908,0.7897196261682243,14.887573964497042
operational_theorem_frontier,0.10738784182424022,0.018652265891432762,0.5794392523364486,20260908,1.0,0.0
operational_mean_frontier,0.10761221888027428,0.018448328599333763,0.5794392523364486,20260908,1.0,61.799065420560744
old_score_proxy,0.10870061843903854,0.018037157133221626,0.5747663551401869,20260908,1.0,127.16355140186916
base,0.11030058159898172,0.019054125994443893,0.4672897196261682,20260909,1.0,0.0
fixed_level_1,0.11056698638455528,0.018517086282372475,0.46261682242990654,20260909,1.0,193.51401869158877
fixed_level_2,0.11090716856503596,0.019090360030531883,0.4532710280373832,20260909,1.0,162.46728971962617
fixed_level_3,0.10881373076027168,0.018085883930325508,0.49019607843137253,20260909,0.9532710280373832,68.95588235294117
fixed_level_4,0.1067717739398122,0.019158652052283287,0.4642857142857143,20260909,0.7850467289719626,11.119047619047619
operational_theorem_frontier,0.11030058159898172,0.019054125994443893,0.4672897196261682,20260909,1.0,0.0
operational_mean_frontier,0.10990434514859705,0.018917223438620567,0.46261682242990654,20260909,1.0,45.03738317757009
old_score_proxy,0.11016949369772722,0.019752999767661095,0.4532710280373832,20260909,1.0,118.69158878504673
base,0.10949395967976494,0.016079282388091087,0.5093457943925234,20260910,1.0,0.0
fixed_level_1,0.10942198137566264,0.01744159683585167,0.5,20260910,1.0,186.66822429906543
fixed_level_2,0.1092547530451856,0.016764972358942032,0.4953271028037383,20260910,1.0,156.34579439252337
fixed_level_3,0.10943223970439081,0.016598287969827652,0.4975124378109453,20260910,0.9392523364485982,72.73134328358209
fixed_level_4,0.10697930277127947,0.016331667080521584,0.5087719298245614,20260910,0.7990654205607477,14.637426900584796
operational_theorem_frontier,0.10947238604303339,0.016079282388091087,0.5093457943925234,20260910,1.0,0.009345794392523364
operational_mean_frontier,0.1092357582125175,0.017152199521660805,0.4953271028037383,20260910,1.0,85.3411214953271
