method,rmse,top1_regret,top1_hit_rate
static_base,0.12305527761242885,0.038103748112916946,0.36619718309859156
static_plus_svd,0.08120852593395994,0.03919349983334541,0.38967136150234744
static_svd_plus_history_rates,0.08106973751473515,0.04026147350668907,0.3755868544600939
embedding_shared_knn,0.0819226989149554,0.03799571841955185,0.38497652582159625
embedding_program_specific_knn,0.0809694266865319,0.039481643587350845,0.38967136150234744
propensity_full_shared_knn,0.08101905678372041,0.03924103081226349,0.38497652582159625
propensity_leave_one_program_out_knn,0.08119548830553903,0.04028671234846115,0.37089201877934275
