method,rmse,top1_regret,top1_hit_rate
static_base,0.13176190650241748,0.038143474608659744,0.4272300469483568
static_plus_svd,0.0856514967646974,0.034983523190021515,0.4413145539906103
static_svd_plus_history_rates,0.08557883983577869,0.038092005997896194,0.4225352112676056
embedding_shared_knn,0.0859965966658326,0.03323796018958092,0.45539906103286387
embedding_program_specific_knn,0.08676026614154916,0.04017843306064606,0.38967136150234744
propensity_full_shared_knn,0.08683219215006058,0.0340435728430748,0.4413145539906103
propensity_full_fixed_chebyshev_k50,0.08562353829297491,0.035911522805690765,0.4272300469483568
propensity_leave_one_program_out_knn,0.08589311273256592,0.03470933809876442,0.431924882629108
