method,rmse,top1_regret,top1_hit_rate,coverage,mean_support,mean_level
base_ridge,0.1171857756943481,0.01994648575782776,0.4734982332155477,,,
fixed_level_1_base_fallback,0.1172897219657898,0.01928824931383133,0.4734982332155477,1.0,257.8445229681979,
fixed_level_2_base_fallback,0.11699631810188293,0.019297907128930092,0.48056537102473496,1.0,233.86219081272085,
fixed_level_3_base_fallback,0.12073982506990433,0.018929939717054367,0.48056537102473496,0.9929328621908127,126.64768683274022,
fixed_level_4_base_fallback,0.11808418482542038,0.022528642788529396,0.45229681978798586,0.9187279151943463,36.83461538461538,
adaptive_theorem_rule,0.11733150482177734,0.01928824931383133,0.4734982332155477,1.0,246.1696113074205,1.2897526501766785
