method,rmse,top1_regret,top1_hit_rate,coverage,mean_support,mean_level
base_ridge,0.04419527627934528,0.01825183443725109,0.2579505300353357,,,
fixed_level_1_base_fallback,0.0441758893430233,0.01761268451809883,0.2826855123674912,1.0,262.6042402826855,
fixed_level_2_base_fallback,0.04418366402387619,0.017826667055487633,0.26855123674911663,1.0,244.79505300353358,
fixed_level_3_base_fallback,0.04421265050768852,0.017972007393836975,0.26855123674911663,0.9752650176678446,135.8913043478261,
fixed_level_4_base_fallback,0.044253017753362656,0.018014561384916306,0.27208480565371024,0.9045936395759717,37.41015625,
adaptive_theorem_rule,0.044182613492012024,0.01764829456806183,0.2791519434628975,1.0,261.23674911660777,1.0812720848056536
