method,rmse,top1_regret,top1_hit_rate
static_base,0.13291613731436966,0.041838470846414566,0.3427230046948357
static_plus_svd,0.0909068022884611,0.038342010229825974,0.3755868544600939
static_svd_plus_history_rates,0.09143981251990248,0.04009032994508743,0.352112676056338
embedding_shared_knn,0.0903567053496606,0.03846048563718796,0.36619718309859156
embedding_program_specific_knn,0.09035080308638682,0.038635075092315674,0.3615023474178404
propensity_full_shared_knn,0.09058427122410917,0.03862882778048515,0.38028169014084506
propensity_leave_one_program_out_knn,0.09079302255467452,0.04109037294983864,0.37089201877934275
