method,rmse,top1_regret,top1_hit_rate
static_base,0.13523783963479982,0.03356011584401131,0.39436619718309857
static_plus_svd,0.08711846650598348,0.032296810299158096,0.4084507042253521
static_svd_plus_history_rates,0.0853602536545978,0.03208324313163757,0.41784037558685444
embedding_shared_knn,0.08581965094204973,0.03351409360766411,0.38028169014084506
embedding_program_specific_knn,0.0854496168602416,0.03474366292357445,0.40375586854460094
propensity_full_shared_knn,0.08704572355164358,0.03212769702076912,0.4225352112676056
propensity_full_fixed_chebyshev_k50,0.08716748256682837,0.033496275544166565,0.39436619718309857
propensity_leave_one_program_out_knn,0.08754519584595784,0.03635213151574135,0.38497652582159625
