method,rmse,top1_regret,top1_hit_rate,coverage,mean_support,mean_level
base_ridge,0.10348478227742745,0.019549420103430748,0.48056537102473496,,,
fixed_level_1,0.10632656514644623,0.015721557661890984,0.5406360424028268,1.0,246.0494699646643,
fixed_level_2,0.10550175607204437,0.015721557661890984,0.5406360424028268,1.0,210.85159010600708,
fixed_level_3,0.10764630883932114,0.015982735902071,0.5379061371841155,0.9787985865724381,97.32851985559567,
fixed_level_4,0.10965787619352341,0.018659858033061028,0.5066079295154186,0.8021201413427562,17.58149779735683,
adaptive_theorem_rule,0.10633053630590439,0.015721557661890984,0.5406360424028268,1.0,242.9964664310954,1.0777385159010602
