method,rmse,top1_regret,top1_hit_rate,ndcg,pairwise_log_loss
base_propensity,0.0863096013661516,0.03872567601501942,0.3704225352112676,0.9756724431402463,0.6374251913246279
fixed_propensity_peer_mean,0.08601988355871747,0.038365283608436586,0.3713615023474178,0.9761142017697535,0.6374247410057554
base_pairwise_ranker,,0.037140803411602974,0.3647887323943662,0.9773395067222037,0.2091508671893047
restricted_base_pairwise_ranker,,0.037076053023338315,0.3657276995305164,0.9766254386405417,0.5366990978844439
propensity_neighborhood_ranker,,0.0373110719025135,0.36103286384976524,0.9775006680173564,0.20515379165546835
embedding_neighborhood_ranker,,0.03710968755185604,0.3657276995305164,0.9769691060973059,0.2121012694691886
neighborhood_pairwise_ranker,,0.03753066137433052,0.360093896713615,0.9768392538942742,0.21262151282655867
restricted_neighborhood_ranker,,0.03700718842446804,0.3652582159624413,0.9767789596109161,0.5351530551263475
