method,rmse,top1_regret,top1_hit_rate,coverage,mean_support,mean_level
base_ridge,0.10906889120858969,0.019778426736593246,0.49469964664310956,,,
fixed_level_1,0.10838757455348969,0.018786519765853882,0.4876325088339223,1.0,275.2155477031802,
fixed_level_2,0.10847114026546478,0.018801603466272354,0.4911660777385159,1.0,266.51943462897526,
fixed_level_3,0.10776619613170624,0.019282488152384758,0.4856115107913669,0.9823321554770318,195.5791366906475,
fixed_level_4,0.11069202423095703,0.020110897719860077,0.4835164835164835,0.9646643109540636,73.08424908424908,
adaptive_theorem_rule,0.10798462480306625,0.018786519765853882,0.4876325088339223,1.0,251.7809187279152,1.8869257950530036
