method,rmse,top1_regret,top1_hit_rate,coverage,mean_support,mean_level
base_ridge,0.04686346844209664,0.016215037554502487,0.27208480565371024,,,
fixed_level_1_base_fallback,0.04673341289162636,0.016995972022414207,0.254416961130742,1.0,252.80565371024736,
fixed_level_2_base_fallback,0.046703871339559555,0.017134586349129677,0.2508833922261484,1.0,230.0600706713781,
fixed_level_3_base_fallback,0.04681459069252014,0.016775980591773987,0.26855123674911663,0.9823321554770318,133.9388489208633,
fixed_level_4_base_fallback,0.046741779893636703,0.017333202064037323,0.2508833922261484,0.8904593639575972,38.00396825396825,
adaptive_theorem_rule,0.04673341289162636,0.016995972022414207,0.254416961130742,1.0,252.80565371024736,1.0
