method,rmse,top1_regret,top1_hit_rate,coverage,mean_support,mean_level
base_ridge,0.10832813005267959,0.019000420346856117,0.49469964664310956,,,
fixed_level_1_base_fallback,0.11078429222106934,0.019105251878499985,0.5053003533568905,1.0,261.0247349823322,
fixed_level_2_base_fallback,0.11102823168039322,0.01955902948975563,0.5017667844522968,1.0,235.61484098939928,
fixed_level_3_base_fallback,0.11475261300802231,0.020432788878679276,0.4876325088339223,0.9858657243816255,129.31182795698925,
fixed_level_4_base_fallback,0.11761625111103058,0.02085944451391697,0.4734982332155477,0.8939929328621908,37.85375494071146,
adaptive_theorem_rule,0.11093180626630783,0.019105251878499985,0.5053003533568905,1.0,235.14487632508835,1.5795053003533568
