method,rmse,top1_regret,top1_hit_rate,coverage,mean_support,mean_level
base_ridge,0.10348478227742745,0.019549420103430748,0.48056537102473496,,,
fixed_level_1_base_fallback,0.10372897237539291,0.01851053722202778,0.49469964664310956,1.0,252.80565371024736,
fixed_level_2_base_fallback,0.10351525992155075,0.01851053722202778,0.49469964664310956,1.0,230.0600706713781,
fixed_level_3_base_fallback,0.10352080315351486,0.01841524988412857,0.49469964664310956,0.9823321554770318,133.9388489208633,
fixed_level_4_base_fallback,0.10392057150602341,0.01912590116262436,0.4876325088339223,0.8904593639575972,38.00396825396825,
adaptive_theorem_rule,0.10372897237539291,0.01851053722202778,0.49469964664310956,1.0,252.80565371024736,1.0
