method,rmse,top1_regret,top1_hit_rate,coverage,mean_support,mean_level
base_ridge,0.1171857756943481,0.01994648575782776,0.4734982332155477,,,
fixed_level_1_base_fallback,0.11725760251283646,0.019512038677930832,0.4734982332155477,1.0,257.8445229681979,
fixed_level_2_base_fallback,0.1170305386185646,0.019304772838950157,0.48056537102473496,1.0,233.86219081272085,
fixed_level_3_base_fallback,0.11768665164709091,0.018909798935055733,0.47703180212014135,0.9929328621908127,126.64768683274022,
fixed_level_4_base_fallback,0.11691047251224518,0.019889354705810547,0.48056537102473496,0.9187279151943463,36.83461538461538,
adaptive_theorem_rule,0.11724239587783813,0.019512038677930832,0.4734982332155477,1.0,257.24734982332154,1.0247349823321554
