seed,method,rmse,top1_regret,top1_hit_rate,ndcg,pairwise_log_loss
20260902,preliminary_base,0.08851778353587084,0.04210713878273964,0.3568075117370892,0.9746770415804952,0.6373847908199133
20260902,stacked_base_preprocessor,0.08896658653334348,0.04116937145590782,0.37089201877934275,0.9744309905919492,0.6373611040454339
20260902,propensity_neighborhood_preprocessor,0.08888484370211695,0.04129864647984505,0.3615023474178404,0.9744003583519587,0.637443833900631
20260902,embedding_neighborhood_preprocessor,0.08921239454381596,0.041234925389289856,0.36619718309859156,0.9745956171037523,0.6374764668410124
20260902,combined_neighborhood_preprocessor,0.0885291389448593,0.04210713878273964,0.3568075117370892,0.9746852025348935,0.6373893745525093
20260903,preliminary_base,0.0847589031160009,0.03859418258070946,0.38028169014084506,0.9752399260260188,0.6368796056744259
20260903,stacked_base_preprocessor,0.0847584725191791,0.03859418258070946,0.38028169014084506,0.9752387979767336,0.6368790825535688
20260903,propensity_neighborhood_preprocessor,0.08475472159844318,0.03859418258070946,0.38028169014084506,0.9752387979767336,0.6368835507463796
20260903,embedding_neighborhood_preprocessor,0.08475550346292689,0.03859418258070946,0.38028169014084506,0.9752080937138764,0.6368836812774472
20260903,combined_neighborhood_preprocessor,0.08467422601725091,0.04003002867102623,0.3615023474178404,0.9749087828664638,0.6370854178535023
20260904,preliminary_base,0.08294682672491274,0.03723228722810745,0.40375586854460094,0.9757938378432814,0.6368415343115629
20260904,stacked_base_preprocessor,0.08350287418277395,0.03834324702620506,0.39436619718309857,0.9754031208478541,0.6367832620501834
20260904,propensity_neighborhood_preprocessor,0.08323206216001705,0.03851236030459404,0.37089201877934275,0.9757861333584169,0.6368484574498595
20260904,embedding_neighborhood_preprocessor,0.08294766734756004,0.03723228722810745,0.40375586854460094,0.9757884752789568,0.636844197804122
20260904,combined_neighborhood_preprocessor,0.08294094140855184,0.03723228722810745,0.40375586854460094,0.9758003589751025,0.6368455496402877
20260905,preliminary_base,0.0909068022884611,0.038342010229825974,0.3755868544600939,0.9759029309209376,0.6380849457948498
20260905,stacked_base_preprocessor,0.09090621713842796,0.038342010229825974,0.3755868544600939,0.9759085433007674,0.6380855864015764
20260905,propensity_neighborhood_preprocessor,0.0908965407328549,0.038342010229825974,0.3755868544600939,0.9759029309209376,0.638086992580881
20260905,embedding_neighborhood_preprocessor,0.09090127186438955,0.038342010229825974,0.3755868544600939,0.9758045870744506,0.6380896108724847
20260905,combined_neighborhood_preprocessor,0.0908916897885804,0.038342010229825974,0.3755868544600939,0.9758045870744506,0.6380909604855551
20260906,preliminary_base,0.08907358116232976,0.04298761487007141,0.3051643192488263,0.9745335002900356,0.639031724482168
20260906,stacked_base_preprocessor,0.09002840683293922,0.04560684412717819,0.2863849765258216,0.973443034496677,0.6390810580159715
20260906,propensity_neighborhood_preprocessor,0.08992187142496824,0.043985527008771896,0.29577464788732394,0.9739517936446054,0.6391375245352972
20260906,embedding_neighborhood_preprocessor,0.08998540326267682,0.044841647148132324,0.29577464788732394,0.9735320126850073,0.6391638550858115
20260906,combined_neighborhood_preprocessor,0.08987042875660603,0.043880436569452286,0.3004694835680751,0.9740366974175927,0.6391824810121043
20260907,preliminary_base,0.08277020434300984,0.03908354043960571,0.36619718309859156,0.9768081167895185,0.6370497029964697
20260907,stacked_base_preprocessor,0.08279030295855047,0.03831665590405464,0.36619718309859156,0.9769193893963778,0.6369786308165879
20260907,propensity_neighborhood_preprocessor,0.08260558694033492,0.037391211837530136,0.3755868544600939,0.9773356451669057,0.6370528424645336
20260907,embedding_neighborhood_preprocessor,0.08242405969597887,0.03709220886230469,0.3755868544600939,0.9772354970205325,0.6370706593531448
20260907,combined_neighborhood_preprocessor,0.08228275140133896,0.03686415031552315,0.38028169014084506,0.977616357764591,0.6370913579321135
20260908,preliminary_base,0.08179391471562278,0.03126305714249611,0.431924882629108,0.977661566948585,0.6361216999290364
20260908,stacked_base_preprocessor,0.08179358163346007,0.03126305714249611,0.431924882629108,0.9776629069739697,0.6361212384201403
20260908,propensity_neighborhood_preprocessor,0.08178731915038553,0.031150033697485924,0.431924882629108,0.9777234388097589,0.6361241865403665
20260908,embedding_neighborhood_preprocessor,0.08178960307470488,0.031150033697485924,0.431924882629108,0.9777003008218523,0.6361246954730014
20260908,combined_neighborhood_preprocessor,0.0816737898309863,0.03212474286556244,0.41784037558685444,0.9771585217588437,0.6362814544431747
20260909,preliminary_base,0.0915155416346378,0.04009076952934265,0.36619718309859156,0.975121706347664,0.637939224120787
20260909,stacked_base_preprocessor,0.09151695320855263,0.04009076952934265,0.36619718309859156,0.9751188813166694,0.6379385399787288
20260909,propensity_neighborhood_preprocessor,0.09151216555940883,0.04009076952934265,0.36619718309859156,0.9751224876589205,0.6379384345984059
20260909,embedding_neighborhood_preprocessor,0.0915163930965681,0.04009076952934265,0.36619718309859156,0.9751361402456329,0.6379410610481631
20260909,combined_neighborhood_preprocessor,0.09151162144074482,0.04009076952934265,0.36619718309859156,0.9751506134157288,0.6379409460600718
20260910,preliminary_base,0.08120852593395994,0.03919349983334541,0.38967136150234744,0.9758032451693226,0.636943318307937
