method,rmse,top1_regret,top1_hit_rate,ndcg,pairwise_log_loss
preliminary_base,0.0863096013661516,0.03872567601501942,0.3704225352112676,0.9756724431402463,0.6374251913246279
stacked_base_preprocessor,0.086547490428298,0.03906899504363537,0.3685446009389671,0.9754148445397531,0.6374222913426111
propensity_neighborhood_preprocessor,0.0864843645721815,0.03886870760470629,0.36619718309859156,0.9755423833665455,0.6374842290482843
embedding_neighborhood_preprocessor,0.08643446394405957,0.03861291166394949,0.37183098591549296,0.9755993430095746,0.637452482201681
combined_neighborhood_preprocessor,0.08631058734577239,0.03907538279891014,0.3652582159624413,0.9755025742245069,0.6375488883351474
