method,rmse,top1_regret,top1_hit_rate,coverage,mean_support,mean_level
base_ridge,0.10467737254983571,0.01254560798406601,0.6325088339222615,,,
fixed_level_1_base_fallback,0.1057915911078453,0.012824902310967445,0.6254416961130742,1.0,262.6042402826855,
fixed_level_2_base_fallback,0.10594604909420013,0.013033054769039154,0.6219081272084805,1.0,244.79505300353358,
fixed_level_3_base_fallback,0.10641663521528244,0.013266089372336864,0.6219081272084805,0.9752650176678446,135.8913043478261,
fixed_level_4_base_fallback,0.10531401634216309,0.012525666505098343,0.6325088339222615,0.9045936395759717,37.41015625,
adaptive_theorem_rule,0.10601329058408737,0.012824902310967445,0.6254416961130742,1.0,234.55830388692578,1.657243816254417
