method,rmse,top1_regret,top1_hit_rate,coverage,mean_support,mean_level
base_ridge,0.1070174156444692,0.018778832629323006,0.4911660777385159,,,
fixed_level_1_base_fallback,0.10705423355102539,0.01812831498682499,0.49823321554770317,1.0,282.0,
fixed_level_2_base_fallback,0.10678976774215698,0.018486356362700462,0.49469964664310956,0.9823321554770318,163.6726618705036,
fixed_level_3_base_fallback,0.10678550601005554,0.018486356362700462,0.49469964664310956,0.9717314487632509,151.15636363636364,
fixed_level_4_base_fallback,0.10671423375606537,0.01842540130019188,0.49469964664310956,0.9045936395759717,37.41015625,
adaptive_theorem_rule,0.10683228075504303,0.01812831498682499,0.49823321554770317,1.0,260.9893992932862,1.254416961130742
