method,rmse,top1_regret,top1_hit_rate,coverage,mean_support,mean_level
base_ridge,0.10906889120858969,0.019778426736593246,0.49469964664310956,,,
fixed_level_1_base_fallback,0.10904691368341446,0.020271888002753258,0.4911660777385159,1.0,265.65017667844523,
fixed_level_2_base_fallback,0.10911580920219421,0.019993949681520462,0.49823321554770317,1.0,238.7173144876325,
fixed_level_3_base_fallback,0.10933814197778702,0.020033996552228928,0.49823321554770317,0.9752650176678446,128.06884057971016,
fixed_level_4_base_fallback,0.10925151407718658,0.019732827320694923,0.4876325088339223,0.8975265017667845,37.70472440944882,
adaptive_theorem_rule,0.10905888676643372,0.020271888002753258,0.4911660777385159,1.0,264.24381625441697,1.0636042402826855
