method,rmse,top1_regret,top1_hit_rate,coverage,mean_support,mean_level
base_ridge,0.10906889120858969,0.019778426736593246,0.49469964664310956,,,
fixed_level_1_base_fallback,0.10902520269155502,0.019732750952243805,0.49823321554770317,1.0,265.65017667844523,
fixed_level_2_base_fallback,0.10906407237052917,0.019600611180067062,0.5017667844522968,1.0,238.7173144876325,
fixed_level_3_base_fallback,0.10910054296255112,0.019042065367102623,0.5053003533568905,0.9752650176678446,128.06884057971016,
fixed_level_4_base_fallback,0.10903686285018921,0.01962869055569172,0.49469964664310956,0.8975265017667845,37.70472440944882,
adaptive_theorem_rule,0.1088481992483139,0.019718950614333153,0.5017667844522968,1.0,250.23321554770317,1.558303886925795
