method,rmse,top1_regret,top1_hit_rate,coverage,mean_support,mean_level
base_ridge,0.04966865904359163,0.019382251426577568,0.21554770318021202,,,
fixed_level_1_base_fallback,0.04959166795015335,0.019554857164621353,0.21908127208480566,1.0,257.8445229681979,
fixed_level_2_base_fallback,0.04957437887787819,0.01928522251546383,0.22968197879858657,1.0,233.86219081272085,
fixed_level_3_base_fallback,0.049634866416454315,0.01861638016998768,0.2332155477031802,0.9929328621908127,126.64768683274022,
fixed_level_4_base_fallback,0.04951225593686104,0.019318630918860435,0.2332155477031802,0.9187279151943463,36.83461538461538,
adaptive_theorem_rule,0.04959166795015335,0.019554857164621353,0.21908127208480566,1.0,257.8445229681979,1.0
