method,rmse,top1_regret,top1_hit_rate,coverage,mean_support,mean_level
base_ridge,0.1171857756943481,0.01994648575782776,0.4734982332155477,,,
fixed_level_1_base_fallback,0.11726076155900955,0.01909242570400238,0.47703180212014135,1.0,282.0,
fixed_level_2_base_fallback,0.11745741963386536,0.019460182636976242,0.46996466431095407,0.9893992932862191,158.64642857142857,
fixed_level_3_base_fallback,0.11731485277414322,0.019523561000823975,0.46996466431095407,0.9752650176678446,141.6485507246377,
fixed_level_4_base_fallback,0.11695734411478043,0.02011258341372013,0.47703180212014135,0.9187279151943463,36.83461538461538,
adaptive_theorem_rule,0.117369145154953,0.019068468362092972,0.48056537102473496,1.0,258.0530035335689,1.2791519434628975
