method,rmse,top1_regret,top1_hit_rate,coverage,mean_support,mean_level
base_ridge,0.10832813005267959,0.019000420346856117,0.49469964664310956,,,
fixed_level_1,0.11109692603349686,0.019105251878499985,0.5053003533568905,1.0,271.434628975265,
fixed_level_2,0.11103726923465729,0.019105251878499985,0.5053003533568905,1.0,262.30742049469967,
fixed_level_3,0.11209466308355331,0.019473884254693985,0.5,0.9893992932862191,195.75,
fixed_level_4,0.11583132296800613,0.020598474889993668,0.48905109489051096,0.9681978798586572,72.81751824817518,
adaptive_theorem_rule,0.11114724725484848,0.019105251878499985,0.5053003533568905,1.0,258.64310954063603,1.5795053003533568
