method,rmse,top1_regret,top1_hit_rate,coverage,mean_support,mean_level
base_ridge,0.04635113947318016,0.01599067822098732,0.28975265017667845,,,
fixed_level_1_base_fallback,0.046506453305482864,0.015933645889163017,0.28975265017667845,1.0,261.0247349823322,
fixed_level_2_base_fallback,0.04645652696490288,0.016355164349079132,0.2791519434628975,1.0,235.61484098939928,
fixed_level_3_base_fallback,0.04650499299168587,0.01601223833858967,0.2756183745583039,0.9858657243816255,129.31182795698925,
fixed_level_4_base_fallback,0.04609954357147217,0.016046695411205292,0.27208480565371024,0.8939929328621908,37.85375494071146,
adaptive_theorem_rule,0.04649330675601959,0.015933645889163017,0.28975265017667845,1.0,260.41696113074204,1.03886925795053
