method,rmse,top1_regret,top1_hit_rate
static_base,0.12142865022648937,0.0397496297955513,0.38028169014084506
static_plus_svd,0.08303700458167095,0.03562510386109352,0.39906103286384975
static_svd_plus_history_rates,0.08331087904163845,0.036444444209337234,0.38967136150234744
embedding_shared_knn,0.08294365132379018,0.03647274523973465,0.39436619718309857
embedding_program_specific_knn,0.08156512535719922,0.03744257614016533,0.39436619718309857
propensity_full_shared_knn,0.08269488664735425,0.035722337663173676,0.38028169014084506
propensity_full_fixed_chebyshev_k50,0.08288140289085581,0.035690777003765106,0.38967136150234744
propensity_leave_one_program_out_knn,0.08281627905816609,0.03604693338274956,0.38497652582159625
