method,rmse,top1_regret,top1_hit_rate,coverage,mean_support,mean_level
base_ridge,0.10348478227742745,0.019549420103430748,0.48056537102473496,,,
fixed_level_1_base_fallback,0.10387690365314484,0.01851053722202778,0.49469964664310956,1.0,252.80565371024736,
fixed_level_2_base_fallback,0.10351986438035965,0.01851053722202778,0.49469964664310956,1.0,230.0600706713781,
fixed_level_3_base_fallback,0.10356193780899048,0.01829543709754944,0.49823321554770317,0.9823321554770318,133.9388489208633,
fixed_level_4_base_fallback,0.10813304781913757,0.01954840123653412,0.49823321554770317,0.8904593639575972,38.00396825396825,
adaptive_theorem_rule,0.10378766059875488,0.01851053722202778,0.49469964664310956,1.0,245.4310954063604,1.1660777385159011
