method,rmse,top1_regret,top1_hit_rate
static_base,0.1316165248144199,0.04729306697845459,0.323943661971831
static_plus_svd,0.08851778353587084,0.04210713878273964,0.3568075117370892
static_svd_plus_history_rates,0.08683109309745221,0.042939554899930954,0.352112676056338
embedding_shared_knn,0.0856368693183195,0.04277303069829941,0.3615023474178404
embedding_program_specific_knn,0.08582921723173138,0.041876837611198425,0.3755868544600939
propensity_full_shared_knn,0.08905674442897371,0.039122916758060455,0.37089201877934275
propensity_leave_one_program_out_knn,0.08919837305650653,0.04232250899076462,0.3615023474178404
