method,rmse,top1_regret,top1_hit_rate,coverage,mean_support,mean_level
base_ridge,0.11008128744269802,0.012780044227838516,0.5653710247349824,,,
fixed_level_1_base_fallback,0.11012589186429977,0.012594652362167835,0.568904593639576,1.0,257.8445229681979,
fixed_level_2_base_fallback,0.10980793833732605,0.012799587100744247,0.568904593639576,1.0,233.86219081272085,
fixed_level_3_base_fallback,0.10978689044713974,0.012834504246711731,0.5724381625441696,0.9929328621908127,126.64768683274022,
fixed_level_4_base_fallback,0.11001232266426086,0.013095764443278313,0.568904593639576,0.9187279151943463,36.83461538461538,
adaptive_theorem_rule,0.1101263239979744,0.012594652362167835,0.5724381625441696,1.0,245.57597173144876,1.2685512367491165
