method,rmse,top1_regret,top1_hit_rate,coverage,mean_support,mean_level
base_ridge,0.10832813005267959,0.019000420346856117,0.49469964664310956,,,
fixed_level_1_base_fallback,0.10805896669626236,0.018933482468128204,0.5017667844522968,1.0,261.0247349823322,
fixed_level_2_base_fallback,0.1081055998802185,0.018797017633914948,0.5017667844522968,1.0,235.61484098939928,
fixed_level_3_base_fallback,0.10833936929702759,0.019202683120965958,0.4911660777385159,0.9858657243816255,129.31182795698925,
fixed_level_4_base_fallback,0.1085197776556015,0.01935930922627449,0.4911660777385159,0.8939929328621908,37.85375494071146,
adaptive_theorem_rule,0.10815189778804779,0.018933482468128204,0.5017667844522968,1.0,235.14487632508835,1.5795053003533568
