method,rmse,top1_regret,top1_hit_rate,coverage,mean_support,mean_level
base_ridge,0.10832813005267959,0.019000420346856117,0.49469964664310956,,,
fixed_level_1_base_fallback,0.10828866064548492,0.01894742250442505,0.5017667844522968,1.0,282.0,
fixed_level_2_base_fallback,0.1084720566868782,0.018883679062128067,0.5017667844522968,0.9858657243816255,158.22222222222223,
fixed_level_3_base_fallback,0.10833193361759186,0.018717369064688683,0.5053003533568905,0.9823321554770318,141.0359712230216,
fixed_level_4_base_fallback,0.1085197776556015,0.01935930922627449,0.4911660777385159,0.8939929328621908,37.85375494071146,
adaptive_theorem_rule,0.10857614874839783,0.01894742250442505,0.5017667844522968,1.0,265.5512367491166,1.1908127208480566
