method,rmse,top1_regret,top1_hit_rate,coverage,mean_support,mean_level
base_ridge,0.1070174156444692,0.018778832629323006,0.4911660777385159,,,
fixed_level_1_base_fallback,0.10693319886922836,0.01847715675830841,0.4911660777385159,1.0,262.6042402826855,
fixed_level_2_base_fallback,0.10681270062923431,0.018402881920337677,0.49469964664310956,1.0,244.79505300353358,
fixed_level_3_base_fallback,0.10794836282730103,0.01896885596215725,0.47703180212014135,0.9752650176678446,135.8913043478261,
fixed_level_4_base_fallback,0.11205469071865082,0.019687816500663757,0.4664310954063604,0.9045936395759717,37.41015625,
adaptive_theorem_rule,0.10698625445365906,0.01847715675830841,0.4911660777385159,1.0,251.0565371024735,1.4134275618374559
