method,rmse,top1_regret,top1_hit_rate,coverage,mean_support,mean_level
base_ridge,0.10906889120858969,0.019778426736593246,0.49469964664310956,,,
fixed_level_1_base_fallback,0.10896178334951401,0.020461982116103172,0.4911660777385159,1.0,282.0,
fixed_level_2_base_fallback,0.10910491645336151,0.020619811490178108,0.4911660777385159,0.9752650176678446,165.04347826086956,
fixed_level_3_base_fallback,0.10901445895433426,0.019440937787294388,0.5053003533568905,0.9752650176678446,142.66304347826087,
fixed_level_4_base_fallback,0.10903686285018921,0.01962869055569172,0.49469964664310956,0.8975265017667845,37.70472440944882,
adaptive_theorem_rule,0.10904951393604279,0.020461982116103172,0.4911660777385159,1.0,259.69257950530033,1.314487632508834
