seed,method,rmse,top1_regret,top1_hit_rate,ndcg,pairwise_log_loss
20260912,base_propensity,0.08711846650598348,0.032296810299158096,0.4084507042253521,0.9770067525781653,0.6366550905835235
20260912,tuned_decision_neighborhood,0.08709648547389491,0.03147192299365997,0.39436619718309857,0.9771739191203858,0.6366760700408697
20260912,fixed_decision_neighborhood,0.08708917469397445,0.032237183302640915,0.38967136150234744,0.9767264695951602,0.6366635672413246
20260913,base_propensity,0.08353277338549928,0.035607099533081055,0.38497652582159625,0.976875927583566,0.637363876513851
20260913,tuned_decision_neighborhood,0.0834479699144953,0.03551154583692551,0.3615023474178404,0.9768456425927382,0.6373305768838267
20260913,fixed_decision_neighborhood,0.08345767761930012,0.03644459694623947,0.3615023474178404,0.9770232712024963,0.6373259876286841
20260914,base_propensity,0.07876155585523867,0.03194045647978783,0.45539906103286387,0.9774191551591431,0.6396683096353617
20260914,tuned_decision_neighborhood,0.07881454883358126,0.033893246203660965,0.43661971830985913,0.9766760610545506,0.6397054943105543
20260914,fixed_decision_neighborhood,0.0787432878408087,0.03295433148741722,0.43661971830985913,0.9773153834862444,0.6396785914771541
20260915,base_propensity,0.08667755858794582,0.039333295077085495,0.3615023474178404,0.9756637642976853,0.6366169983134408
20260915,tuned_decision_neighborhood,0.08663501026617687,0.039071373641490936,0.39436619718309857,0.9763290853713046,0.6366101476234552
20260915,fixed_decision_neighborhood,0.08663109886525187,0.03831649571657181,0.38967136150234744,0.9764006387247156,0.6365981768017235
20260916,base_propensity,0.0856514967646974,0.034983523190021515,0.4413145539906103,0.9773442546415579,0.6365969898837729
20260916,tuned_decision_neighborhood,0.0856047488607389,0.035185426473617554,0.4413145539906103,0.9777393316371387,0.6366002024672032
20260916,fixed_decision_neighborhood,0.08559472001735907,0.03663336858153343,0.41784037558685444,0.9773109982686068,0.6365756384443073
20260917,base_propensity,0.08062587722531826,0.0432492159307003,0.3380281690140845,0.9750233454118488,0.637466419266156
20260917,tuned_decision_neighborhood,0.08058346833539823,0.04425418749451637,0.3051643192488263,0.9752165364873081,0.6374468910102202
20260917,fixed_decision_neighborhood,0.08057983693958028,0.04215332865715027,0.3380281690140845,0.9752366810749082,0.6374621637517378
20260918,base_propensity,0.08116262351383521,0.03785739094018936,0.3615023474178404,0.9772196499606104,0.6356728872770652
20260918,tuned_decision_neighborhood,0.08112003427148021,0.035351283848285675,0.38967136150234744,0.9779352314836696,0.6356579010827443
20260918,fixed_decision_neighborhood,0.08112457720858542,0.03742853179574013,0.38028169014084506,0.9776274890072021,0.635667953004546
20260919,base_propensity,0.08536231942534188,0.03284407779574394,0.4131455399061033,0.9779702205723161,0.6368565188863082
20260919,tuned_decision_neighborhood,0.08535327912706868,0.03656204417347908,0.38497652582159625,0.9770669294025564,0.6368773335641132
20260919,fixed_decision_neighborhood,0.08533571899009136,0.03630487248301506,0.38497652582159625,0.9771949365536515,0.6368592747442915
20260920,base_propensity,0.08303700458167095,0.03562510386109352,0.39906103286384975,0.9770857443252022,0.6375404304124305
20260920,tuned_decision_neighborhood,0.08311684922091638,0.03901098296046257,0.3755868544600939,0.9763196914362422,0.6375570221685806
20260920,fixed_decision_neighborhood,0.0829788580939166,0.03751026839017868,0.38028169014084506,0.976924557841085,0.6375048846246928
20260921,base_propensity,0.08656681581757115,0.03745599836111069,0.36619718309859156,0.9755549187158914,0.6386333515473493
20260921,tuned_decision_neighborhood,0.08653946913002099,0.03758898749947548,0.36619718309859156,0.9760169593542571,0.6386191153640486
20260921,fixed_decision_neighborhood,0.08653555204681602,0.036751024425029755,0.37089201877934275,0.976156363486769,0.6386253302765139
